iter	RMSE
129	3.772993143
130	3.768733824
131	3.765008479
132	3.759631454
133	3.753445829
134	3.748972406
135	3.744010876
136	3.740092576
137	3.73651138
138	3.731987607
139	3.729266034
140	3.727229261
141	3.722935096
142	3.719663332
143	3.714880358
144	3.708971979
145	3.704016008
146	3.699746461
147	3.696633421
148	3.693769272
149	3.691543167
150	3.687460614
151	3.682469472
152	3.678405464
153	3.677814858
154	3.675274624
155	3.670300701
156	3.666668194
157	3.664125263
158	3.658868293
159	3.653358762
160	3.648808409
161	3.64573518
162	3.6418648
163	3.638915319
164	3.636442736
165	3.633745526
166	3.633056674
167	3.628862451
168	3.626484811
169	3.623704037
170	3.618941543
171	3.617061905
172	3.613057739
173	3.609143088
174	3.605298813
175	3.602060368
176	3.599066994
177	3.595104388
178	3.590375648
179	3.58899762
180	3.584978281
181	3.582147006
182	3.579794859
183	3.577806287
184	3.573104138
185	3.569066339
186	3.565548386
187	3.563363306
188	3.560322854
189	3.557697893
190	3.555220565
191	3.553471143
192	3.54970416
193	3.545246136
194	3.541885163
195	3.538507251
196	3.536636155
197	3.534871955
198	3.53289309
199	3.531020846
200	3.529036086
201	3.526664553
202	3.524590786
203	3.52263821
204	3.520605325
205	3.51817042
206	3.514107754
207	3.512738306
208	3.509422818
209	3.505199325
210	3.503751643
211	3.501078439
212	3.49892095
213	3.496798459
214	3.494387088
215	3.492854503
216	3.488490639
217	3.486730371
218	3.482594078
219	3.480242406
220	3.478671045
221	3.476758379
222	3.475848099
223	3.474079243
224	3.471878332
225	3.470993732
226	3.468074282
227	3.465376618
228	3.464389023
229	3.462167958
230	3.461198248
231	3.460110396
232	3.458769027
233	3.455947568
234	3.454423058
235	3.452436297
236	3.449255097
237	3.447321132
238	3.4457487
239	3.444846091
240	3.442204734
241	3.441252502
242	3.43902352
243	3.438177358
244	3.435930003
245	3.431216953
246	3.429189746
247	3.428227637
248	3.42307516
249	3.422161657
250	3.417569199
251	3.416246999
252	3.415551656
253	3.412921617
254	3.411662327
255	3.410512237
256	3.409169449
257	3.40663494
258	3.40535016
259	3.403974663
260	3.399735115
261	3.39874687
262	3.396023928
263	3.395397804
264	3.394702688
265	3.393237764
266	3.388834931
267	3.387141031
268	3.3849292
269	3.384047211
270	3.383351926
271	3.379729579
272	3.37803492
273	3.373428411
274	3.372192049
275	3.371089948
276	3.370156147
277	3.366896737
278	3.362783443
279	3.361204942
280	3.360647144
281	3.35809546
282	3.357271594
283	3.355279965
284	3.352226457
285	3.347764855
286	3.346886938
287	3.346124535
288	3.34463658
289	3.341407863
290	3.338904368
291	3.3355575
292	3.334665531
293	3.330663294
294	3.329747652
295	3.3266783
296	3.321819474
297	3.319833102
298	3.317636808
299	3.314095153
300	3.311205432
301	3.310779931
302	3.307780148
303	3.30595811
304	3.304160354
305	3.301124761
306	3.299349374
307	3.298527854
308	3.294866574
309	3.292016152
310	3.291133163
311	3.290492476
312	3.288080288
313	3.285328172
314	3.283649788
315	3.282765266
316	3.279743919
317	3.279199333
318	3.277112358
319	3.275207822
320	3.273885482
321	3.272653963
322	3.271978649
323	3.27140703
324	3.270668134
325	3.269320118
326	3.268602018
327	3.267977175
328	3.262452014
329	3.258587991
330	3.255766121
331	3.251964681
332	3.24847034
333	3.247754132
334	3.245150131
335	3.244260299
336	3.243498151
337	3.238203714
338	3.236845778
339	3.234646243
340	3.23250552
341	3.229760918
342	3.228834034
343	3.225194924
344	3.224869238
345	3.223420824
346	3.222353835
347	3.220772719
348	3.219516639
349	3.217151954
350	3.216518679
351	3.216040743
352	3.213550642
353	3.2118865
354	3.211283401
355	3.210606555
356	3.209873125
357	3.207451662
358	3.204609516
359	3.201079939
360	3.198575276
361	3.195343674
362	3.193487758
363	3.192250791
364	3.189489707
365	3.187442205
366	3.187152834
367	3.185587229
368	3.182056924
369	3.180327956
370	3.177283835
371	3.175804507
372	3.173117546
373	3.17264378
374	3.172401282
375	3.170832899
376	3.169657608
377	3.169263464
378	3.16736426
379	3.166467072
380	3.166182122
381	3.164889897
382	3.163722312
383	3.163106141
384	3.16152982
385	3.159014436
386	3.158471314
387	3.15638137
388	3.156163716
389	3.154392989
390	3.153494485
391	3.151647167
392	3.1507606
393	3.149545064
394	3.147425353
395	3.145411534
396	3.142489339
397	3.140531525
398	3.140255246
399	3.137910064
400	3.137277587
401	3.134123626
402	3.133017265
403	3.13049633
404	3.128561079
405	3.126439456
406	3.124011654
407	3.122047007
408	3.121630618
409	3.121025424
410	3.120201563
411	3.119351571
412	3.119095808
413	3.117422736
414	3.117160075
415	3.11662187
416	3.114579317
417	3.113880021
418	3.113732678
419	3.112115818
420	3.11093671
421	3.109470501
422	3.109232502
423	3.107654956
424	3.105210277
425	3.1038059
426	3.099719569
427	3.097090051
428	3.0965152
429	3.095983854
430	3.094312694
431	3.092179887
432	3.090914723
433	3.090505577
434	3.090285774
435	3.089499553
436	3.086567078
437	3.085977713
438	3.085343365
439	3.08221932
440	3.081923105
441	3.081703629
442	3.078917734
443	3.076132389
444	3.074526399
445	3.073558453
446	3.072231233
447	3.071988208
448	3.071225169
449	3.070677171
450	3.069158839
451	3.068568955
452	3.067188137
453	3.06698417
454	3.065886416
455	3.064252226
456	3.063705983
457	3.060620403
458	3.058450411
459	3.057078836
460	3.056867293
461	3.056691145
462	3.054935381
463	3.053476327
464	3.053266956
465	3.053085139
466	3.051539386
467	3.049586868
468	3.049378366
469	3.04766337
470	3.045285165
471	3.044475774
472	3.041271497
473	3.040824605
474	3.038750419
475	3.037650187
476	3.035855886
477	3.035075581
478	3.033118535
479	3.030906817
480	3.028483197
481	3.027829165
482	3.025943918
483	3.025506434
484	3.023456314
485	3.022551089
486	3.022258496
487	3.022165785
488	3.019120279
489	3.01674909
490	3.016419602
491	3.016030708
492	3.015907681
493	3.015759441
494	3.014194656
495	3.01288753
496	3.010876797
497	3.008628704
498	3.008373455
499	3.005373679
500	3.003214245
501	3.002455603
502	3.000481531
503	2.998754506
504	2.996925344
505	2.99673141
506	2.994917202
507	2.993453368
508	2.99296867
509	2.991787952
510	2.991190856
511	2.98860854
512	2.988195123
513	2.988069359
514	2.985924772
515	2.983316643
516	2.981762978
517	2.980613063
518	2.979794604
519	2.979496996
520	2.978920892
521	2.97580475
522	2.974159569
523	2.973865984
524	2.973042634
525	2.970471857
526	2.968829359
527	2.968069529
528	2.966993863
529	2.964007635
530	2.961167405
531	2.960623519
532	2.959418428
533	2.958298809
534	2.955432891
535	2.952854149
536	2.950479012
537	2.949393314
538	2.94693693
539	2.94623381
540	2.942970455
541	2.941565807
542	2.940014016
543	2.93875203
544	2.937436512
545	2.936918535
546	2.936764592
547	2.936569684
548	2.935402651
549	2.934248066
550	2.933603137
551	2.931083759
552	2.929735771
553	2.928714072
554	2.927047472
555	2.925808276
556	2.92480123
557	2.923881485
558	2.922707268
559	2.920384239
560	2.919449271
561	2.91930775
562	2.918692666
563	2.918307776
564	2.916975931
565	2.915862721
566	2.913353358
567	2.911834274
568	2.90984514
569	2.907675725
570	2.906527082
571	2.90596399
572	2.904211963
573	2.902347504
574	2.901660009
575	2.90150338
576	2.901327057
577	2.900289848
578	2.900182911
579	2.897933436
580	2.897407273
581	2.897229335
582	2.895806443
583	2.893882455
584	2.892166973
585	2.889836625
586	2.889567762
587	2.888535048
588	2.888390433
589	2.887898695
590	2.886707573
591	2.884774635
592	2.883579855
593	2.883315428
594	2.881710265
595	2.881580378
596	2.88145233
597	2.878665121
598	2.877743481
599	2.876862193
600	2.876746753
601	2.875442057
602	2.874740837
603	2.8728124
604	2.871991787
605	2.869856576
606	2.868958211
607	2.868094848
608	2.867702506
609	2.866740466
610	2.864966158
611	2.863863761
612	2.863141954
613	2.862969115
614	2.862622899
615	2.862185551
616	2.861710992
617	2.861304227
618	2.860469852
619	2.860272123
620	2.859018215
621	2.858749908
622	2.858373949
623	2.858267511
624	2.857110265
625	2.856714628
626	2.856157527
627	2.854399196
628	2.852811732
629	2.852417039
630	2.850332005
631	2.848401097
632	2.8454693
633	2.8441271
634	2.842470664
635	2.840261504
636	2.840157902
637	2.838105731
638	2.837492429
639	2.836410318
640	2.835450926
641	2.834600995
642	2.832944281
643	2.83224171
644	2.830674596
645	2.829867882
646	2.827351825
647	2.825403766
648	2.822979354
649	2.821917615
650	2.821507743
651	2.820578029
652	2.819504256
653	2.816740533
654	2.816681981
655	2.815821304
656	2.815295561
657	2.812368641
658	2.81126914
659	2.80985682
660	2.809800006
661	2.809575205
662	2.808860377
663	2.807471483
664	2.804519519
665	2.804146582
666	2.804009473
667	2.802864396
668	2.801861994
669	2.800437117
670	2.799931676
671	2.799357039
672	2.799233049
673	2.798767198
674	2.79710504
675	2.796468565
676	2.795646253
677	2.795111007
678	2.795032542
679	2.794465363
680	2.792418916
681	2.792277502
682	2.790437544
683	2.789726024
684	2.788764591
685	2.787038379
686	2.786016248
687	2.783998004
688	2.781825825
689	2.780636365
690	2.77957659
691	2.778860716
692	2.776699092
693	2.77660656
694	2.775487361
695	2.773900428
696	2.772726576
697	2.770930229
698	2.768754898
699	2.767845204
700	2.767236517
701	2.766434118
702	2.764801341
703	2.763085728
704	2.762804528
705	2.761086364
706	2.759980307
707	2.758116174
708	2.757226637
709	2.755829712
710	2.754925702
711	2.753287176
712	2.752776621
713	2.752436417
714	2.751897276
715	2.751460816
716	2.75138147
717	2.749354046
718	2.748946275
719	2.748585603
720	2.748538189
721	2.747810946
722	2.746760979
723	2.745663345
724	2.744517272
725	2.744241591
726	2.742957694
727	2.741343369
728	2.741237278
729	2.739858352
730	2.73945317
731	2.738027346
732	2.736946421
733	2.736892722
734	2.736785246
735	2.736701012
736	2.736514561
737	2.734798457
738	2.734446339
739	2.732487215
740	2.731707224
741	2.730002236
742	2.729855835
743	2.729829776
744	2.728210632
745	2.727925299
746	2.72596822
747	2.723894409
748	2.721880948
749	2.721249699
750	2.719828516
751	2.717959938
752	2.715661734
753	2.714764513
754	2.7140425
755	2.713982636
756	2.711870731
757	2.711812197
758	2.710973364
759	2.710593461
760	2.709801134
761	2.709203847
762	2.707337021
763	2.706736659
764	2.705787743
765	2.703891993
766	2.703526699
767	2.703153362
768	2.702216157
769	2.702178142
770	2.702145269
771	2.701883071
772	2.701768826
773	2.70045391
774	2.699219775
775	2.698928331
776	2.698314303
777	2.695702352
778	2.693566696
779	2.693264835
780	2.692192831
781	2.69209233
782	2.691426281
783	2.690926844
784	2.690336876
785	2.689561747
786	2.689521428
787	2.688275414
788	2.687271227
789	2.685792159
790	2.685537672
791	2.685485906
792	2.683987522
793	2.682284757
794	2.681048652
795	2.679286016
796	2.679225005
797	2.677699772
798	2.677092339
799	2.676092844
800	2.675311513
801	2.674971635
802	2.674653526
803	2.674214132
804	2.673849042
805	2.673389814
806	2.672211213
807	2.670110561
808	2.668110089
809	2.667708796
810	2.665900593
811	2.665444619
812	2.664484798
813	2.664419864
814	2.663592996
815	2.66092108
816	2.658371093
817	2.657804184
818	2.657193501
819	2.655351929
820	2.654933278
821	2.65489124
822	2.654522728
823	2.654246257
824	2.654054728
825	2.653693958
826	2.653209633
827	2.651535079
828	2.651510476
829	2.650834282
830	2.65008589
831	2.650031616
832	2.647941215
833	2.647395591
834	2.646353669
835	2.644095207
836	2.643394583
837	2.642827889
838	2.642441895
839	2.64196222
840	2.64123423
841	2.640916088
842	2.639088492
843	2.638998751
844	2.637403516
845	2.636731243
846	2.636084811
847	2.6346921
848	2.634287463
849	2.633524616
850	2.632544785
851	2.631410947
852	2.631341318
853	2.631048552
854	2.630387566
855	2.629389079
856	2.628518585
857	2.628258232
858	2.627640352
859	2.626188731
860	2.625572322
861	2.623628734
862	2.622793233
863	2.62193238
864	2.620781735
865	2.620000431
866	2.618233356
867	2.617201924
868	2.615865718
869	2.614881334
870	2.614747772
871	2.614304289
872	2.612833691
873	2.61186522
874	2.610429552
875	2.609261625
876	2.608653941
877	2.606271329
878	2.606190383
879	2.60553861
880	2.604377191
881	2.604050604
882	2.603216651
883	2.603156467
884	2.601996279
885	2.60071536
886	2.59998355
887	2.598175686
888	2.59814632
889	2.596507487
890	2.596488175
891	2.595344736
892	2.593736216
893	2.592401642
894	2.592313834
895	2.591918494
896	2.591862581
897	2.590896743
898	2.589994461
899	2.588911003
900	2.588532798
901	2.587135979
902	2.586463493
903	2.586003696
904	2.585150354
905	2.584980742
906	2.584569964
907	2.583470577
908	2.583252408
909	2.582861323
910	2.581565894
911	2.581247207
912	2.580298644
913	2.579991495
914	2.578905428
915	2.578850839
916	2.576626072
917	2.576533505
918	2.575035066
919	2.574177086
920	2.573639304
921	2.573040762
922	2.572973325
923	2.57291085
924	2.5723896
925	2.571545837
926	2.570563485
927	2.569319935
928	2.568891039
929	2.56865713
930	2.567939879
931	2.566716124
932	2.566476649
933	2.565842603
934	2.565647314
935	2.565405276
936	2.565375651
937	2.565342537
938	2.563976286
939	2.562522811
940	2.562337678
941	2.560888848
942	2.560831504
943	2.559371213
944	2.559333223
945	2.558008049
946	2.557853309
947	2.55634828
948	2.555230772
949	2.553438246
950	2.551563499
951	2.55127211
952	2.549405642
953	2.548436317
954	2.548413079
955	2.547759308
956	2.545943888
957	2.545368806
958	2.544934996
959	2.544907695
960	2.544504586
961	2.543458062
962	2.543360868
963	2.542458149
964	2.540953447
965	2.54061823
966	2.540590807
967	2.539883135
968	2.538223622
969	2.537776843
970	2.537365614
971	2.536270806
972	2.535260638
973	2.534504525
974	2.533631254
975	2.532865925
976	2.532558996
977	2.532520456
978	2.531154171
979	2.530329081
980	2.530302965
981	2.529706493
982	2.529319579
983	2.529187213
984	2.528134057
985	2.527714532
986	2.527314803
987	2.525853966
988	2.525716517
989	2.525679492
990	2.525653623
991	2.525330586
992	2.523823888
993	2.522598355
994	2.520463091
995	2.520435814
996	2.520417465
997	2.519621713
998	2.519564556
999	2.518301843
